id,Smiles
123,NC1=C(Cl)C(=O)c2ccc(S(N)(=O)=O)cc2C1=O
124,Nc1ccccc1NC(=O)CCCCCNC(=O)CCC(=O)c1cccs1
125,Cc1cnc(NC(=O)CN2CCN(c3ccccn3)CC2)s1
126,CCN(c1cc(-c2cccs2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1
127,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)CCOc2ccccc2)ccc1Oc1ccc(F)cc1F
128,CCn1c(=O)c(=O)[nH]c2cc(C(=O)N(C)Cc3cnn(-c4ccccc4)c3)ccc21
129,O=C(COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1
130,COc1cc2ncnc(Nc3ccc(C(=O)Nc4ccccc4N)cc3)c2cc1OCCCN1CCOCC1
131,CC(C)=CCC1=C(OCC(=O)O)C(=O)c2ccccc2C1=O
132,CC(=O)N1CCC(n2ccc3cnc(-c4cccc(OCC(O)CN5CCc6ccccc6C5)c4)nc32)CC1
133,CC(C)[C@H]1NC(=O)[C@@H](C)[C@H](C/C=C\CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O
134,CCC(=O)N1CCc2[nH]nc(-c3ccccc3)c2C1
135,Oc1cc(O)c2c(-c3cc(F)cc(F)c3)coc2c1
136,CS(=O)(=O)c1ccc2cc(C(=O)N/N=C/c3cc(Br)c(O)c(Br)c3O)ccc2c1
137,Cc1cc(-c2nc3ccc(N4CCOC[C@@H]4C)cc3n2[C@@H](C)c2ccccc2)cn(C)c1=O
138,O=C(COc1cccc(C(=O)N2CCOCC2)c1)NCC(O)CN1CCc2ccccc2C1
139,O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn(CCCCOc4ccccc4)c3)c3cc[nH]c3n2)cc1)NO
140,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc2nnsc2c1
141,O=C(CCCCCCOc1ccccc1C(=O)Nc1ncnc2[nH]cnc12)NO
142,Cn1sc2ccccc2c1=O
143,CCN(C(=O)CO)C1CN(/C(=N\C#N)NCCc2cccc(Cl)c2)N=C1c1ccc(Cl)cc1
144,CNC(=O)/C(CCCCCCC(=O)Nc1cccc(-c2ccc(Cl)nc2)c1)=N\O
145,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O
146,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)-c2nnnn2CC(=O)N[C@@H](C(C)C)C(=O)O1
147,CS(=O)(=O)c1cc(NS(=O)(=O)c2cc(Br)cc(Cl)c2O)cc(C2(C#N)CCC2)c1
148,Cc1cc(C)c(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1C
149,C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)C1CC1)C(N)=O
150,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)N(C(C)C)C(C)C(=O)N3C)cc1
151,Cc1n[nH]c(C)c1-c1cc(-c2c(C)noc2C)cc2nc(N)[nH]c12
152,C/C(=C\c1ccccc1)[C@@H]1C[C@H]1N[C@H]1CC[C@H](O)CC1
153,CS(=O)(=O)c1cc(Cl)cc(NS(=O)(=O)c2cc(Br)cc3cccnc23)c1O
154,CC(C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C)C(=O)N2)OC(=O)CNC1=O
155,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccno1
156,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2[C@H]2CCOC2)C1
157,Cc1ccc(C(=O)NCCCCCC(=O)Nc2cc(-n3cccn3)c(F)cc2N)cc1
158,O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccc(O)cc3)c(=O)c3ccccc32)cc1
159,CN(C)C(=O)N(Cc1ccc(C(=O)Nc2ccccc2N)cc1)Cc1ccc(-c2cccs2)cc1
160,O=C(CCCCCCC(=O)Nc1ccc(-c2ccccc2)cc1)NO
161,O=C(/C=C/c1ccc2c(c1)nc(-c1ccncc1)n2CCCO)NO
162,CNC(=O)c1cc(C(=O)NC2CC2)cc2c1O[C@H](C)[C@H]2c1ccccc1
163,COc1ccc(C(=O)N[C@H](COc2cccc(/C=C/C(=O)NO)c2)Cc2c[nH]c3ccccc23)cc1
